nombre,poblacion,superficie,continente
Uruguay,3423100,176215,América
Paraguay,7152703,406752,América
Bolivia,12079479,1098581,América
Ecuador,18190484,283561,América
Colombia,52085168,1141748,América
Venezuela,28670000,916445,América
Guatemala,18000000,108889,América
Reino Unido,67508936,243610,Europa
Portugal,10305564,92212,Europa
Suiza,8796669,41285,Europa
Suecia,10549347,450295,Europa
Corea del Sur,51780000,100210,Asia
Tailandia,71697000,513120,Asia
Indonesia,277534000,1904569,Asia
Nueva Zelanda,5210000,268021,Oceania
